lat,lon,useful_crop_percentage,useless_non_crop_percentage
37.93487935325868,-88.26444348595373,58.59,41.41
39.43487935325868,-88.76444348595373,58.5,41.5
37.43487935325868,-101.26444348595372,58.5,41.5
43.43487935325868,-99.76444348595372,58.4,41.6
39.93487935325868,-83.26444348595373,58.34,41.66
39.43487935325868,-92.76444348595372,58.34,41.66
33.43487935325868,-91.26444348595372,58.31,41.69
35.93487935325868,-98.26444348595372,58.3,41.7
40.93487935325868,-91.26444348595372,58.07,41.93
38.43487935325868,-88.26444348595373,57.97,42.03
32.43487935325868,-100.76444348595372,57.93,42.07
39.93487935325868,-100.26444348595372,57.87,42.13
31.43487935325868,-91.76444348595372,57.79,42.21
38.93487935325868,-89.26444348595373,57.79,42.21
37.93487935325868,-87.76444348595373,57.57,42.43
41.43487935325868,-85.76444348595373,57.57,42.43
44.93487935325868,-97.76444348595372,57.37,42.63
41.93487935325868,-97.26444348595372,57.36,42.64
35.43487935325868,-90.76444348595372,57.35,42.65
30.43487935325868,-92.26444348595372,57.27,42.73
36.93487935325868,-120.76444348595372,57.12,42.88
47.43487935325868,-98.76444348595372,57.04,42.96
36.93487935325868,-101.76444348595372,57.03,42.97
44.43487935325868,-99.76444348595372,56.91,43.09
47.43487935325868,-98.26444348595372,56.78,43.22
27.93487935325868,-97.26444348595372,56.75,43.25
39.93487935325868,-102.26444348595372,56.63,43.37
42.43487935325868,-89.26444348595373,56.61,43.39
41.93487935325868,-92.26444348595372,56.6,43.4
40.93487935325868,-98.26444348595372,56.44,43.56
46.93487935325868,-106.26444348595372,56.31,43.69
44.43487935325868,-98.76444348595372,56.31,43.69
45.43487935325868,-120.76444348595372,56.28,43.72
32.93487935325868,-99.76444348595372,56.2,43.8
39.43487935325868,-90.26444348595372,56.07,43.93
33.93487935325868,-101.76444348595372,55.97,44.03
30.93487935325868,-91.76444348595372,55.89,44.11
48.43487935325868,-99.76444348595372,55.87,44.13
47.93487935325868,-98.26444348595372,55.79,44.21
42.43487935325868,-84.76444348595373,55.78,44.22
39.43487935325868,-88.26444348595373,55.75,44.25
40.93487935325868,-101.26444348595372,55.6,44.4
34.93487935325868,-90.26444348595372,55.47,44.53
46.93487935325868,-101.76444348595372,55.2,44.8
41.43487935325868,-91.26444348595372,55.13,44.87
48.43487935325868,-111.26444348595372,55.05,44.95
43.93487935325868,-88.26444348595373,55.02,44.98
38.93487935325868,-100.76444348595372,54.94,45.06
34.93487935325868,-90.76444348595372,54.87,45.13
47.93487935325868,-100.76444348595372,54.86,45.14
36.43487935325868,-88.76444348595373,54.76,45.24
43.93487935325868,-88.76444348595373,54.62,45.38
42.43487935325868,-92.26444348595372,54.33,45.67
40.43487935325868,-101.76444348595372,54.29,45.71
40.43487935325868,-83.76444348595373,54.25,45.75
40.43487935325868,-96.26444348595372,54.22,45.78
45.43487935325868,-99.76444348595372,54.19,45.81
45.93487935325868,-98.76444348595372,54.16,45.84
46.93487935325868,-102.76444348595372,54.06,45.94
38.43487935325868,-98.76444348595372,53.99,46.01
42.93487935325868,-77.76444348595373,53.87,46.13
37.43487935325868,-102.26444348595372,53.86,46.14
38.93487935325868,-75.76444348595373,53.78,46.22
39.43487935325868,-102.26444348595372,53.72,46.28
47.93487935325868,-112.26444348595372,53.6,46.4
38.93487935325868,-99.76444348595372,53.56,46.44
36.43487935325868,-90.76444348595372,53.51,46.49
45.93487935325868,-98.26444348595372,53.47,46.53
41.93487935325868,-91.76444348595372,53.43,46.57
43.93487935325868,-92.26444348595372,53.36,46.64
47.43487935325868,-105.76444348595372,53.31,46.69
42.93487935325868,-91.26444348595372,53.29,46.71
38.93487935325868,-87.26444348595373,53.28,46.72
36.93487935325868,-87.76444348595373,53.25,46.75
34.93487935325868,-99.26444348595372,52.99,47.01
41.43487935325868,-99.76444348595372,52.85,47.15
40.93487935325868,-96.76444348595372,52.78,47.22
36.43487935325868,-101.26444348595372,52.76,47.24
39.43487935325868,-93.26444348595372,52.72,47.28
40.43487935325868,-99.76444348595372,52.62,47.38
42.93487935325868,-91.76444348595372,52.61,47.39
47.93487935325868,-110.76444348595372,52.58,47.42
34.43487935325868,-99.26444348595372,52.5,47.5
39.93487935325868,-97.26444348595372,52.49,47.51
45.43487935325868,-101.26444348595372,52.41,47.59
46.43487935325868,-120.26444348595372,52.19,47.81
41.93487935325868,-84.76444348595373,52.19,47.81
44.43487935325868,-98.26444348595372,52.07,47.93
43.93487935325868,-73.26444348595373,52.03,47.97
34.93487935325868,-91.26444348595372,52.02,47.98
48.93487935325868,-103.76444348595372,51.9,48.1
42.93487935325868,-82.76444348595373,51.72,48.28
45.93487935325868,-116.26444348595372,51.71,48.29
39.93487935325868,-89.76444348595373,51.63,48.37
39.43487935325868,-87.76444348595373,51.61,48.39
41.93487935325868,-104.26444348595372,51.38,48.62
40.43487935325868,-104.76444348595372,51.36,48.64
38.43487935325868,-99.26444348595372,51.34,48.66
39.43487935325868,-93.76444348595372,51.25,48.75
40.93487935325868,-90.26444348595372,51.01,48.99
27.43487935325868,-97.76444348595372,50.85,49.15
29.43487935325868,-95.76444348595372,50.79,49.21
33.93487935325868,-91.26444348595372,50.66,49.34
48.43487935325868,-107.26444348595372,50.65,49.35
38.43487935325868,-97.26444348595372,50.64,49.36
40.93487935325868,-95.76444348595372,50.58,49.42
37.93487935325868,-87.26444348595373,50.54,49.46
37.93487935325868,-100.76444348595372,50.51,49.49
40.93487935325868,-102.26444348595372,50.48,49.52
32.93487935325868,-90.76444348595372,50.46,49.54
37.43487935325868,-94.26444348595372,50.43,49.57
38.93487935325868,-91.26444348595372,50.41,49.59
40.43487935325868,-91.76444348595372,50.4,49.6
35.43487935325868,-77.76444348595373,50.29,49.71
47.43487935325868,-104.76444348595372,50.15,49.85
37.93487935325868,-89.26444348595373,50.09,49.91
38.93487935325868,-100.26444348595372,50.07,49.93
40.43487935325868,-86.76444348595373,49.98,50.02
29.93487935325868,-91.76444348595372,49.97,50.03
37.93487935325868,-101.26444348595372,49.75,50.25
45.43487935325868,-120.26444348595372,49.74,50.26
35.43487935325868,-101.26444348595372,49.73,50.27
39.43487935325868,-122.26444348595372,49.64,50.36
46.93487935325868,-99.26444348595372,49.59,50.41
40.43487935325868,-94.76444348595372,49.56,50.44
40.93487935325868,-94.76444348595372,49.44,50.56
41.93487935325868,-86.26444348595373,49.44,50.56
43.43487935325868,-100.26444348595372,49.35,50.65
42.93487935325868,-114.76444348595372,49.22,50.78
46.93487935325868,-102.26444348595372,49.09,50.91
45.93487935325868,-118.26444348595372,49.08,50.92
26.43487935325868,-98.26444348595372,49.04,50.96
45.43487935325868,-98.76444348595372,49.04,50.96
47.43487935325868,-101.76444348595372,48.95,51.05
36.43487935325868,-76.26444348595373,48.85,51.15
44.93487935325868,-88.26444348595373,48.82,51.18
38.93487935325868,-93.26444348595372,48.62,51.38
46.43487935325868,-116.76444348595372,48.61,51.39
32.93487935325868,-102.76444348595372,48.51,51.49
39.93487935325868,-87.26444348595373,48.5,51.5
39.93487935325868,-100.76444348595372,48.3,51.7
39.93487935325868,-104.76444348595372,48.17,51.83
48.93487935325868,-104.26444348595372,48.11,51.89
35.93487935325868,-102.76444348595372,48.08,51.92
39.43487935325868,-118.76444348595372,48.02,51.98
39.43487935325868,-97.76444348595372,47.87,52.13
43.43487935325868,-91.76444348595372,47.74,52.26
39.43487935325868,-75.76444348595373,47.68,52.32
37.93487935325868,-99.76444348595372,47.68,52.32
39.43487935325868,-98.76444348595372,47.61,52.39
42.93487935325868,-88.76444348595373,47.5,52.5
30.93487935325868,-83.76444348595373,47.49,52.51
47.93487935325868,-103.76444348595372,47.46,52.54
36.93487935325868,-88.76444348595373,47.39,52.61
37.93487935325868,-94.26444348595372,47.21,52.79
42.93487935325868,-90.26444348595372,47.15,52.85
38.93487935325868,-87.76444348595373,47.04,52.96
43.43487935325868,-89.26444348595373,47.04,52.96
45.43487935325868,-107.76444348595372,47.01,52.99
37.43487935325868,-87.76444348595373,46.93,53.07
34.43487935325868,-98.76444348595372,46.9,53.1
38.93487935325868,-83.76444348595373,46.83,53.17
48.93487935325868,-108.76444348595372,46.82,53.18
47.93487935325868,-102.26444348595372,46.79,53.21
40.43487935325868,-90.76444348595372,46.76,53.24
41.43487935325868,-102.76444348595372,46.67,53.33
41.43487935325868,-85.26444348595373,46.65,53.35
38.43487935325868,-83.76444348595373,46.59,53.41
39.43487935325868,-102.76444348595372,46.58,53.42
40.43487935325868,-76.26444348595373,46.56,53.44
47.93487935325868,-105.26444348595372,46.49,53.51
